id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
16719	emulation	-1.1162	-0.4756	1	33	60	34	2010.1765	10.1765	1.0096
16820	energy	-0.4547	0.1612	3	20	26	23	2016.3478	3.1304	1.5843
16844	energy consumption	-0.3855	0.1514	3	24	34	34	2014.9118	8.9412	1.6004
16865	energy efficiency	-0.7533	-0.5074	1	13	14	35	2015.7429	6.1143	1.1932
17324	equivalent mutants	1.0183	-0.5516	5	17	44	27	2016.6667	7.7037	1.6194
17391	error detection	-0.4993	0.5544	4	17	25	21	2009.619	18.6667	2.2846
17514	estimation	-0.3676	0.394	3	23	29	24	2013.5	7.5833	1.1175
17791	evolutionary algorithms	1.0563	0.3468	7	48	110	67	2013.8209	9.0299	1.3386
17823	evolutionary testing	1.1317	0.3212	7	35	78	46	2011.4348	23.9348	2.461
18150	expert system	0.6455	0.0286	2	13	16	26	2012.8846	2.6538	0.3676
18197	exploratory testing	0.3125	0.2685	2	28	45	29	2014.8276	6.1034	0.9769
18501	failure	-0.131	0.4623	3	26	35	23	2011.4348	16.1304	2.6553
18764	fault detection	-0.6328	-0.0529	1	100	205	113	2012.292	8.2212	1.0485
18789	fault diagnosis	-0.5806	-0.0441	1	46	66	48	2012.3958	4.25	0.6196
18820	fault injection	-0.329	-0.7693	4	128	544	477	2015.4927	6.1216	1.1056
18823	fault injection attack	-1.0643	-0.3595	1	6	8	23	2017.5217	3.2174	0.848
18851	fault localization	0.7481	0.1408	7	75	234	229	2014.6332	14.0175	2.0374
18868	fault model	0.3574	-1.032	4	21	35	26	2013.3846	4.5385	0.7469
18880	fault prediction	-0.1164	0.9087	3	29	55	45	2014.3111	11.6889	1.2876
18914	fault simulation	0.1063	-1.1691	4	13	26	24	2015.6667	3.375	1.0308
18926	fault tolerance	-0.478	-0.5041	4	70	200	106	2014.1887	5.6792	0.8967
18960	fault-based testing	1.176	-0.1287	5	23	41	33	2005.3333	34.4848	3.6564
19115	feature extraction	-0.8806	0.435	1	28	36	26	2014.8462	6.2308	1.4421
19130	feature models	0.6059	0.6366	3	16	38	20	2014.55	18.15	2.4447
19141	feature selection	-0.189	0.7917	3	24	39	32	2015.8125	10.2812	1.6027
19544	finite element	-0.3031	0.4645	3	6	7	31	2015.2903	5.4516	1.2114
19563	finite state machine	0.5467	-0.5918	9	66	149	105	2012.2667	5.819	0.6385
19721	fitness function	1.314	0.3284	7	27	65	32	2014.6875	5.75	0.8497
20314	formal methods	0.3104	-0.5865	2	67	152	101	2010.9208	18.7525	1.8517
20334	formal specification	-0.231	-0.2792	1	74	130	75	2008.6667	8.3467	0.8327
20344	formal verification	-0.3203	-0.7053	1	64	106	66	2013.2727	6.803	0.9721
20481	fpga	-0.541	-0.4797	1	76	184	216	2014.9907	3.5046	0.6733
20998	functional testing	0.441	-0.2302	9	83	148	95	2011.7053	6.0211	0.7085
21069	fuzzing	0.3959	-0.6765	5	79	191	143	2016.6084	7.042	1.633
21125	fuzzy logic	0.2136	0.6443	3	49	95	84	2014.4405	6.0476	0.8631
21272	gamification	-0.5931	0.0622	1	13	16	25	2017.24	9.76	1.5099
21598	genetic algorithm	0.7037	0.3761	7	161	723	519	2013.7264	10.1021	1.2609
21625	genetic programming	0.6494	0.2469	7	54	89	63	2014.5079	11.5397	1.6782
22137	gpu	-0.0767	-0.6704	4	28	43	43	2015.8837	10.0698	1.6372
22316	graphical user interface	0.0355	0.159	9	53	83	61	2013.2459	3.4262	0.4247
22320	graphical user interfaces	-0.8937	-0.2022	1	35	47	27	2008.7407	18.6667	1.4789
22713	gui testing	0.5603	0.1852	9	67	195	117	2013.6838	14.8547	1.8021
22918	hardware	-1.08	-0.2443	1	76	174	69	2008.2899	5.3768	0.5509
23012	hardware-in-the-loop	-0.6002	-0.1722	1	31	54	53	2015.3396	3.8302	0.7008
23669	high performance computing	-0.5465	-0.7436	4	26	38	26	2016.0385	4.4231	0.6507
24274	human factors	-0.4867	0.33	1	30	37	43	2013.2791	5.7907	0.7562
24343	human-computer interaction	-0.98	0.1709	1	17	29	27	2013.7037	4.4815	0.6121
25089	image processing	-0.826	0.3919	1	38	60	99	2015.5859	4.7677	1.0235
25197	impact analysis	0.0486	0.2951	3	29	50	31	2013.1935	8.4839	0.8833
25251	imperfect debugging	-0.0696	1.3556	6	18	86	50	2013.7	9.04	1.4142
25902	information retrieval	-0.2569	0.1552	8	31	47	42	2013.5952	9.3571	1.3256
25906	information security	-0.0784	-0.4891	5	16	20	30	2013.8667	5	0.6836
25919	information system	-0.374	-0.0994	1	14	16	20	2016.7	1.05	2.3081
25925	information systems	-0.8115	-0.0449	1	29	36	21	2011.619	3.2857	0.2888
26153	inspection	-1.0174	0.278	1	38	62	31	2007.7742	5.6452	0.4571
26242	instrumentation	-0.3659	-0.2656	1	47	65	53	2013.7547	3.2453	0.5046
26395	integration	-0.6661	0.0772	1	22	25	20	2014.05	5.35	0.7221
26419	integration testing	0.6072	-0.0406	2	60	129	81	2012.0617	5.8025	0.6583
26900	internet	-0.9778	-0.0996	1	37	57	30	2006.7333	3.7	0.3331
26919	internet of things	-0.583	-0.3661	1	74	107	103	2017.8932	3.4757	1.1074
26949	interoperability	-0.6751	-0.3219	1	23	29	38	2013.9474	8.5526	1.1936
27062	intrusion detection	-0.4331	-0.0377	3	25	34	27	2010.8889	19.2593	2.2656
27552	iter	-0.7292	-0.1005	1	15	18	45	2015.4667	10.1333	1.8702
27687	java	-0.1968	-0.4173	1	138	302	140	2010.4357	18.4929	1.7185
27749	javascript	0.7293	-0.5736	9	41	79	53	2015.566	12.9245	1.8121
27917	junit	0.4558	-0.1476	2	45	77	35	2013.2571	10.8857	1.4169
28213	knowledge management	-0.0486	0.2575	2	25	33	47	2013.3617	7.3191	0.8402
29420	linear regression	-0.3983	0.8282	3	22	29	20	2014.55	9.9	1.8745
29474	linux	-0.7868	-0.1611	1	35	44	30	2013.1	5.8333	0.7799
29610	llvm	0.1066	-0.9181	4	21	31	21	2016.4762	3.8095	0.7971
29687	load testing	0.0134	-0.3155	6	27	43	31	2015.3548	9	1.3679
29768	local search	1.3178	-0.112	7	15	33	21	2015.4286	7.4762	1.2003
29927	logistic regression	-0.27	0.8411	3	20	28	20	2013.1	7	0.9461
30359	machine learning	-0.0457	0.5029	3	161	482	326	2016.8589	8.316	1.8819
30380	machine vision	-0.9394	0.4745	1	11	14	20	2012.55	0.75	0.1729
30675	manual testing	0.6809	-0.0908	9	39	63	31	2016.129	4.9355	0.8471
30737	mapreduce	0.2341	-0.7727	6	20	31	20	2015.05	6.2	1.0402
30822	markov chain	0.7731	0.2358	5	17	23	23	2012.2609	16.6087	1.4857
31003	mathematical model	-1.1882	-0.1563	1	22	35	34	2013.3235	4.0294	0.531
31026	matlab	-0.4739	-0.1144	1	36	52	62	2014.9032	3.5968	0.5873
31165	mc/dc	0.807	-0.6145	5	27	52	36	2014.6389	4.1111	0.5455
31278	measurement	-0.6791	0.2445	1	67	123	89	2012.5281	18.6404	2.0076
31812	metamorphic relation	0.4231	0.837	11	23	82	38	2016.0526	9.2632	1.9315
31822	metamorphic testing	0.3826	0.5902	11	65	219	147	2015.1088	11.6803	2.0123
31943	metrics	-0.0821	0.3305	3	83	165	105	2012.5905	7.2286	0.9446
32097	microcontroller	-0.8568	0.2985	1	16	19	34	2014.2647	2.4706	0.5444
32244	middleware	-0.924	-0.3873	1	25	34	21	2011.9048	6.7143	0.7553
32422	mining software repositories	-0.3122	0.2066	3	22	40	34	2016.3529	16.0588	2.9234
32648	mobile applications	-0.3509	0.0723	1	84	174	128	2016.3984	10.7344	1.9009
32664	mobile computing	-1.1195	0.0813	1	27	38	24	2010.6667	7.75	1.2853
32760	mobile testing	0.3367	-0.1697	2	21	39	28	2017.4286	6.8214	1.2666
32863	model checking	0.1041	-0.7383	4	91	241	159	2012.6164	12.5346	1.2261
32916	model inference	0.7994	-0.3778	2	27	34	20	2014.35	8.5	1.2198
32972	model testing	0.2267	-0.1842	2	21	23	22	2014.4545	5.4545	1.0715
32978	model transformation	0.4391	-0.5023	10	38	67	39	2014.1538	8.8462	1.0502
33054	model-based testing	0.4504	-0.3856	10	163	767	552	2013.7572	8.3841	1.0813
33077	model-driven development	-0.0175	-0.2096	2	44	69	41	2013.0244	4.7317	0.598
33079	model-driven engineering	0.3044	-0.5263	10	47	64	41	2015.7561	5.5366	1.0262
33087	model-driven testing	0.0585	-0.0133	2	23	27	24	2014.6667	6.0417	0.8681
33111	modeling	-0.3026	-0.0033	1	131	250	199	2013.4372	5.005	0.7251
33141	modelling	-0.451	0.2325	1	35	56	69	2012.6812	4.4058	0.8693
33380	monitoring	-0.6632	-0.1371	1	69	115	82	2011.7805	7.0732	1.0394
33427	monte carlo	-0.0632	0.0353	4	14	19	23	2014.913	22.7826	3.2852
33632	mpi	-0.2354	-0.7807	4	23	27	26	2013.3846	8.2308	1.1047
33806	multi-agent systems	0.0236	-0.5518	5	14	15	20	2013.65	8.05	0.8978
33968	multi-objective optimization	0.706	0.7352	7	46	91	65	2015.1692	12.4462	2.0832
34541	mutation analysis	0.7302	-0.1515	5	116	255	177	2012.791	15.1921	2.0183
34557	mutation operators	0.8588	-0.4959	5	52	126	70	2014.3286	6.7714	0.9654
34568	mutation score	0.9586	-0.121	5	21	35	21	2015.7143	3.381	0.6016
34577	mutation testing	0.6553	-0.3214	5	184	814	596	2013.9715	14.8322	1.9667
34807	natural language processing	-0.197	0.6469	8	38	64	58	2016.1552	3.6552	0.7359
34850	navigation	-0.9135	0.268	1	32	39	36	2011.1667	8.3611	1.0513
35207	neural networks	-0.1663	0.5717	3	107	289	266	2014.5865	8.5301	1.3609
35618	non-homogeneous poisson process	-0.1125	1.3826	6	29	165	111	2012.7387	14.991	1.4577
36165	object oriented modeling	-0.9135	0.1428	1	43	73	20	2003.75	25.75	1.5902
36199	object-oriented	0.4873	0.0615	10	81	178	117	2010.9744	9.7521	1.1207
36801	open source software	-0.3481	-0.1399	1	74	113	101	2014.0099	7.8911	1.0694
36874	openflow	-0.6795	-0.8497	1	14	30	25	2016.4	5.48	1.1506
36934	operating systems	-0.9701	-0.4316	1	42	63	26	2006.0385	7.4231	0.8348
36979	operational profile	0.3716	0.9517	6	26	47	39	2011.7436	6.8462	0.9705
37211	optimisation	0.5681	0.5401	6	16	22	24	2015.2083	7.7917	1.152
37214	optimization	-0.0722	0.1831	3	100	200	201	2014.995	5.1841	0.9601
37570	outsourcing	-0.1339	0.237	9	9	9	21	2014.381	7.2857	1.0139
37887	parallel processing	-0.4647	-0.7035	4	15	17	21	2013.4762	7.2381	0.9014
37922	parallelization	0.3552	-0.719	4	21	28	22	2014.0455	5.6818	0.7588
38148	particle swarm optimization	0.7982	0.4289	7	59	136	92	2015.3587	9.6739	1.2331
38178	partition testing	1.0881	0.0786	6	28	71	54	2004.6667	35.5926	3.9323
38287	path coverage	1.0741	0.2433	7	48	122	74	2012.5676	14.8243	2.1473
38316	path planning	-0.8099	0.7611	1	7	8	23	2017.2609	2.7391	1.3107
38403	pattern recognition	-0.5979	0.4873	3	20	31	31	2014.129	8.6452	1.4645
38612	penetration testing	-0.0324	-0.8583	5	21	26	24	2015.5	7.5833	1.0702
38682	performance analysis	-0.4352	-0.3602	1	62	106	54	2010.6296	7.7963	0.992
38711	performance evaluation	-0.8024	-0.39	1	81	146	92	2010.5978	4.663	0.7054
38758	performance testing	0.1884	-0.1139	6	56	111	86	2014.7442	5.814	1.0099
38963	petri nets	-0.175	-0.5627	10	45	76	50	2011.88	3.64	0.4871
40520	prediction	-0.0842	0.6411	3	44	77	59	2012.7627	17.0339	1.401
40557	predictive models	-0.6867	0.6234	3	43	82	27	2006.7037	15.8889	1.4337
40973	process	-0.6329	0.1293	1	19	26	20	2013.45	9.4	1.0046
41201	productivity	-0.4788	0.1036	2	35	51	30	2011.1333	5.7667	0.7901
41270	program analysis	0.3728	-0.227	4	69	136	110	2014.2182	11.8727	1.5658
41296	program comprehension	0.0662	0.063	8	28	36	31	2013.871	6.2903	0.8646
41350	program instrumentation	0.8167	-0.1739	5	16	20	20	2009.8	8.05	0.9669
41404	program slicing	0.8131	0.1802	8	42	87	76	2011.6842	17.3553	1.5782
41424	program synthesis	0.9058	-0.1944	7	19	33	31	2015.8387	12.7742	2.3425
41437	program transformation	0.6473	-0.7131	4	26	35	22	2011.4091	7.1818	1.0546
41690	property-based testing	0.8474	-0.8746	2	24	50	25	2015.48	3.4	0.78
41798	protocols	-1.1683	-0.4184	1	43	86	30	2005	7.5	0.6336
42176	python	-0.171	-0.1708	4	42	53	44	2016.5682	10.5909	1.9651
42310	quality assurance	-0.2136	0.2383	1	81	139	117	2012.2308	9.3248	1.2965
42327	quality control	-0.3816	0.6734	6	18	20	35	2011.6571	6.6286	0.9162
42375	quality of service	-0.6142	-0.7686	1	28	34	35	2011.7429	6.7143	0.8953
42602	quickcheck	0.8263	-0.9063	2	21	43	21	2015.4286	4.2857	0.7991
42985	random testing	1.0086	-0.0165	6	89	328	218	2010.6606	32.8807	3.0984
43075	rapid prototyping	-0.5052	-0.0269	1	28	37	26	2010.6923	7.8077	0.9468
43413	real-time simulation	-0.744	-0.37	1	8	14	25	2013.36	6.68	1.0429
43422	real-time system	-0.6354	-0.5174	1	99	236	141	2010.6667	5.1135	0.6296
43715	refactoring	0.4458	0.1596	2	53	79	65	2013.9231	10.6769	1.441
43838	regression	-0.1931	-0.0795	9	25	32	30	2015.2667	5.8667	0.8384
43868	regression test selection	0.8821	0.3672	8	32	80	58	2014.431	23.3966	2.9267
43876	regression testing	0.6762	0.3141	8	174	966	701	2013.8787	14.0271	1.7176
44059	reliability	-0.3829	-0.1908	4	125	387	307	2013.1596	13.9446	1.5471
44090	reliability growth	0.0249	1.2808	6	8	19	21	2011.9048	5.2381	1.1513
44404	requirements engineering	-0.2213	0.03	2	81	169	116	2014.0776	9.9655	1.3061
44554	resilience	-0.3817	-1.0785	4	14	30	21	2016.1905	4.9524	0.919
44605	resource allocation	0.1037	0.6323	6	18	24	20	2014.05	8.05	1.4635
44768	reuse	-0.0089	0.3432	3	24	30	27	2012.7407	6.1481	0.6673
44793	reverse engineering	0.0884	-0.0808	2	68	102	71	2013.5775	4.7746	0.961
45016	risk management	-0.1942	0.5165	2	66	135	116	2013.8276	9.1552	1.3219
45039	risk-based testing	0.0367	0.8054	2	26	70	36	2014.1944	11.6389	1.7777
45202	robotics	-0.7397	0.3151	1	33	41	36	2014.6667	2.6667	0.5041
45238	robustness	-0.7246	0.0741	1	52	78	51	2012.9412	7.451	1.1726
45247	robustness testing	-0.1257	-0.7419	2	32	46	27	2014.8519	4.2593	0.7871
45608	runtime	-0.9483	-0.3071	1	37	58	20	2007.4	13.9	0.9818
45633	runtime verification	0.1636	-0.5476	4	24	34	27	2015.2963	9.0741	1.2103
45733	safety	-0.6616	-0.4124	1	96	235	148	2013.9324	4.4122	0.829
45823	safety-crtical software	-0.0875	-0.131	2	38	55	27	2013.8519	4.0741	0.8523
45881	sampling	-0.0124	0.6446	6	24	31	24	2013.1667	6.375	0.8955
45996	scalability	-0.4198	-0.5963	4	51	87	41	2013.2439	13.8049	1.5286
46135	scheduling	0.2038	0.1534	6	25	34	29	2014.4483	4	0.7856
46211	scientific software	0.3857	0.5085	11	18	33	20	2015.75	9.35	1.5709
46310	scrum	-0.0849	0.5681	2	24	43	32	2014.6875	4.9375	0.6039
46436	search-based software engineering	1.0031	0.2967	7	84	249	141	2015.2553	17.5603	2.4538
46439	search-based software testing	0.9715	0.0719	7	104	377	238	2015.4034	15.3109	2.0816
46561	security	-0.3394	-0.3889	1	137	331	265	2015.1321	7.6	1.4119
46666	security testing	0.4322	-0.5896	5	60	139	113	2014.5752	8.1062	1.1497
46803	selenium	0.471	-0.2907	9	18	30	21	2016.9048	1.8095	0.3539
47109	sensitivity analysis	0.1373	0.8304	6	30	37	36	2011.5556	20	1.8523
47150	sensors	-0.7953	0.0342	1	21	28	50	2014.84	4.26	0.7931
47201	sequence diagram	1.0385	-0.4444	10	15	27	22	2014.5909	4.3636	0.5717
47380	service-oriented architecture	0.5214	-0.5057	8	52	100	69	2012.5217	8.2464	0.8513
47848	signal processing	-1.0041	-0.231	1	17	19	23	2013.8261	3.3913	0.7853
47990	simulated annealing	0.7541	0.6679	7	31	76	48	2012.9167	16.75	1.8158
48014	simulation	-0.5256	0.0238	1	164	395	442	2013.0724	4.5249	0.7616
48093	simulator	-0.5905	-0.3062	1	29	37	25	2013.72	4.16	0.5323
48098	simulink	-0.0858	-0.2824	1	36	58	31	2015.0323	4.6774	0.6397
48642	smartphone	-0.6602	0.3913	1	15	21	20	2015.75	9.6	2.9088
48882	soft error	-0.4815	-0.9141	4	32	136	86	2016.814	5.1977	1.2368
48938	software analysis	0.642	-0.5737	2	23	30	20	2011	2.3	0.298
48966	software architecture	-0.6941	-0.1882	1	126	275	171	2010.076	6.8304	0.7227
49057	software component	0.224	0.2319	2	37	49	36	2011.6111	6.1667	0.6393
49139	software design	-0.71	-0.0219	1	52	98	62	2009.9677	6.6129	0.6297
49170	software development life cycle	0.1498	0.5983	10	27	35	25	2015.84	5.24	1.1089
49176	software development management	-0.4076	0.4338	3	62	87	61	2011.1967	3.9508	0.5573
49187	software development process	-0.3648	0.3111	2	55	76	81	2011.5679	6.9012	0.8145
49280	software evolution	0.5764	0.3882	8	49	115	75	2015.2533	11.64	1.466
49318	software fault localization	0.5717	0.0345	5	12	17	23	2016.087	16.0435	2.7563
49319	software fault prediction	-0.1917	1.0557	3	20	38	38	2016	31.8158	4.371
49333	software faults	0.1573	0.3029	3	82	151	98	2012.1327	17.9796	1.8861
49415	software libraries	-1.031	-0.0483	1	54	93	39	2007.2308	6.0256	0.4966
49428	software maintenance	-0.1571	0.282	8	130	314	173	2011.9422	10.2543	1.1589
49436	software management	-0.4866	0.4163	1	28	34	24	2012.9583	6.375	1.4444
49440	software measurement	-0.6398	0.5676	3	47	79	39	2003.8974	13.5897	1.563
49451	software metrics	-0.1113	0.7115	3	106	272	161	2012.4658	12.1925	1.5621
49501	software performance	-0.511	-0.1937	1	112	250	171	2013.6433	12.7018	1.6627
49552	software product lines	0.3645	0.3297	3	72	190	142	2015.1408	12.007	1.7451
49585	software prototyping	-0.954	0.0499	1	37	43	24	2010.0833	3.75	0.5867
49589	software quality	-0.1553	0.3863	2	202	650	445	2012.4809	8.1393	1.0491
49593	software quality assurance	0.2998	0.3326	2	55	82	54	2014.0185	4.4444	0.6969
49660	software reliability	0.006	0.8702	6	132	481	440	2009.6659	12.7091	1.5419
49667	software reliability assessment	0.1085	1.3672	6	10	32	26	2011.0769	5.7308	0.5902
